"","Accession","Description"
"1","O35945","Aldehyde dehydrogenase, cytosolic 1 OS=Mus musculus OX=10090 GN=Aldh1a7 PE=1 SV=1"
"2","Q8BP71","RNA binding protein fox-1 homolog 2 OS=Mus musculus OX=10090 GN=Rbfox2 PE=1 SV=2"
"3","Q9WU01","KH domain-containing, RNA-binding, signal transduction-associated protein 2 OS=Mus musculus OX=10090 GN=Khdrbs2 PE=1 SV=1"
"4","Q925B0","PRKC apoptosis WT1 regulator protein OS=Mus musculus OX=10090 GN=Pawr PE=1 SV=2"
"5","Q9EPC1","Alpha-parvin OS=Mus musculus OX=10090 GN=Parva PE=1 SV=1"
"6","Q9D7A8","Armadillo repeat-containing protein 1 OS=Mus musculus OX=10090 GN=Armc1 PE=1 SV=1"
"7","Q5FWH2","Putative E3 ubiquitin-protein ligase UNKL OS=Mus musculus OX=10090 GN=Unkl PE=2 SV=2"
"8","P70268","Serine/threonine-protein kinase N1 OS=Mus musculus OX=10090 GN=Pkn1 PE=1 SV=3"
"9","Q60949","TBC1 domain family member 1 OS=Mus musculus OX=10090 GN=Tbc1d1 PE=1 SV=3"
"10","Q9QXG2","Rab proteins geranylgeranyltransferase component A 1 OS=Mus musculus OX=10090 GN=Chm PE=1 SV=1"
"11","Q8R3F5","Malonyl-CoA-acyl carrier protein transacylase, mitochondrial OS=Mus musculus OX=10090 GN=Mcat PE=1 SV=3"
"12","Q61495","Desmoglein-1-alpha OS=Mus musculus OX=10090 GN=Dsg1a PE=2 SV=2"
"13","P62876","DNA-directed RNA polymerases I, II, and III subunit RPABC5 OS=Mus musculus OX=10090 GN=Polr2l PE=3 SV=1"
"14","O08715","A-kinase anchor protein 1, mitochondrial OS=Mus musculus OX=10090 GN=Akap1 PE=1 SV=4"
"15","P45952","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acadm PE=1 SV=1"
"16","Q9WUH2","LIM/homeobox protein Lhx9 OS=Mus musculus OX=10090 GN=Lhx9 PE=1 SV=3"
"17","P31254","Ubiquitin-like modifier-activating enzyme 1 Y OS=Mus musculus OX=10090 GN=Uba1y PE=1 SV=2"
"18","P70297","Signal transducing adapter molecule 1 OS=Mus musculus OX=10090 GN=Stam PE=1 SV=3"
"19","Q8BH75","E3 ubiquitin-protein ligase NRDP1 OS=Mus musculus OX=10090 GN=Rnf41 PE=1 SV=1"
"20","Q9CSU0","Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Mus musculus OX=10090 GN=Rprd1b PE=1 SV=2"
"21","Q99LC5","Electron transfer flavoprotein subunit alpha, mitochondrial OS=Mus musculus OX=10090 GN=Etfa PE=1 SV=2"
"22","Q6S5J6","Krev interaction trapped protein 1 OS=Mus musculus OX=10090 GN=Krit1 PE=1 SV=1"
"23","Q60928","Glutathione hydrolase 1 proenzyme OS=Mus musculus OX=10090 GN=Ggt1 PE=1 SV=1"
"24","Q3URE1","Acyl-CoA synthetase family member 3, mitochondrial OS=Mus musculus OX=10090 GN=Acsf3 PE=1 SV=2"
"25","Q9CR13","Protein FMC1 homolog OS=Mus musculus OX=10090 GN=Fmc1 PE=1 SV=1"
"26","O35492","Dual specificity protein kinase CLK3 OS=Mus musculus OX=10090 GN=Clk3 PE=1 SV=2"
"27","Q4G5Y1","Kelch domain-containing protein 2 OS=Mus musculus OX=10090 GN=Klhdc2 PE=2 SV=3"
"28","Q61584","Fragile X mental retardation syndrome-related protein 1 OS=Mus musculus OX=10090 GN=Fxr1 PE=1 SV=2"
"29","Q6P4S8","Integrator complex subunit 1 OS=Mus musculus OX=10090 GN=Ints1 PE=1 SV=2"
"30","Q0VGB7","Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Mus musculus OX=10090 GN=Ppp4r2 PE=1 SV=1"
